Dataset,Pnumber,Cellline,Rawfile,Name
full proteome of 59 cell lines,P003363,OVCAR-5,00463_F09_P003363_B00J_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_G08_P003363_B00C_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_D09_P003363_B00H_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_H09_P003363_B00L_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_A09_P003363_B00E_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_B09_P003363_B00F_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_E08_P003363_B00A_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_E09_P003363_B00I_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_F08_P003363_B00B_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_G09_P003363_B00K_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003363,OVCAR-5,00463_H08_P003363_B00D_A00_R1.raw,OVCAR-5 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_B08_P003364_B00J_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_H07_P003364_B00H_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_B07_P003364_B00B_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_E07_P003364_B00E_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_D07_P003364_B00D_A00_R2.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_D08_P003364_B00L_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_G07_P003364_B00G_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_C08_P003364_B00K_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_C07_P003364_B00C_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_F07_P003364_B00F_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_A08_P003364_B00I_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003364,HOP-92,00463_A07_P003364_B00A_A00_R1.raw,HOP-92 cell
full proteome of 59 cell lines,P003376,SF-268,00469_B05_P003376_B00D_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_H05_P003376_B00J_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_G05_P003376_B00I_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_F05_P003376_B00H_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_A05_P003376_B00C_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_H04_P003376_B00B_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_B06_P003376_B00L_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_D05_P003376_B00F_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_A06_P003376_B00K_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_E05_P003376_B00G_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_G04_P003376_B00A_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003376,SF-268,00469_C05_P003376_B00E_A00_R1.raw,SF-268 cell
full proteome of 59 cell lines,P003381,H460,00471_C04_P003381_B00C_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_C05_P003381_B00K_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_G04_P003381_B00G_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_H04_P003381_B00H_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_B05_P003381_B00J_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_A05_P003381_B00I_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_B04_P003381_B00B_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_E04_P003381_B00E_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_D05_P003381_B00L_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_A04_P003381_B00A_A00_R2.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_D04_P003381_B00D_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003381,H460,00471_F04_P003381_B00F_A00_R1.raw,NCI-H460 cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_C01_P003383_B00C_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_E01_P003383_B00E_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_B02_P003383_B00J_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_D01_P003383_B00D_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_H01_P003383_B00H_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_F01_P003383_B00F_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_D02_P003383_B00L_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_A02_P003383_B00I_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_C02_P003383_B00K_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_A01_P003383_B00A_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_B01_P003383_B00B_A00_R1.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003383,OVCAR-8,00471_G01_P003383_B00G_A00_R2.raw,OVCAR-8/ADR cell
full proteome of 59 cell lines,P003487,PC-3,00483_H01_P003487_B00H_A00_R2.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_A01_P003487_B00A_A00_R2.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_F01_P003487_B00F_A00_R1.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_G01_P003487_B00G_A00_R2.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_C02_P003487_B00K_A00_R2.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_E01_P003487_B00E_A00_R2.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_D01_P003487_B00D_A00_R1.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_D02_P003487_B00L_A00_R2.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_B02_P003487_B00J_A00_R2.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_B01_P003487_B00B_A00_R2.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_A02_P003487_B00I_A00_R2.raw,PC-3 cell
full proteome of 59 cell lines,P003487,PC-3,00483_C01_P003487_B00C_A00_R2.raw,PC-3 cell
deep proteome of 9 cell lines,P003811,,00522_G03_P003811_B0W_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_B03_P003811_B0R_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_F03_P003811_B0V_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_B01_P003811_B0B_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_H01_P003811_B0H_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_H02_P003811_B0P_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_E02_P003811_B0M_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_G01_P003811_B0G_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_C03_P003811_B0S_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_D01_P003811_B0D_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_D03_P003811_B0T_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_H03_P003811_B0X_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_E01_P003811_B0E_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_B02_P003811_B0J_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_A03_P003811_B0Q_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_A02_P003811_B0I_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_F02_P003811_B0N_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_G02_P003811_B0O_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_E03_P003811_B0U_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_C01_P003811_B0C_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_C02_P003811_B0K_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_F01_P003811_B0F_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_D02_P003811_B0L_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_A01_P003811_B0A_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003812,,00522_E04_P003812_B0E_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_C04_P003812_B0C_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_B05_P003812_B0J_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_C06_P003812_B0S_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_D06_P003812_B0T_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_E06_P003812_B0U_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_H06_P003812_B0X_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_G05_P003812_B0O_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_F06_P003812_B0V_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_A06_P003812_B0Q_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_F04_P003812_B0F_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_G06_P003812_B0W_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_B06_P003812_B0R_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_D05_P003812_B0L_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_A05_P003812_B0I_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_D04_P003812_B0D_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_F05_P003812_B0N_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_B04_P003812_B0B_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_C05_P003812_B0K_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_G04_P003812_B0G_A00_R1.raw,RXF-393 cell
