"LC.H522"	"CO.HCC2998"	"RE.SN12C"	"BR.HS578T"	"LE.K562"	"BR.BT549"	"LC.EKVX"	"LC.HOP62"	"ME.SKMEL28"	"BR.T47D"	"ME.MDAMB435"	"LE.SR"	"BR.MDAMB231"	"ME.LOXIMVI"	"CNS.SNB75"	"ME.M14"	"OV.ADRRES"	"CO.HT29"	"LC.H226"	"RE.RXF393"	"CNS.U251"	"ME.SKMEL5"	"OV.SKOV3"	"PR.DU145"	"OV.OVCAR3"	"OV.IGROV1"	"ME.SKMEL2"	"OV.OVCAR4"	"ME.UACC62"	"CO.COLO205"	"ME.UACC257"	"CNS.SNB19"	"RE.7860"	"LE.HL60"	"CO.SW620"	"LC.A549"	"RE.A498"	"LE.CCRFCEM"	"LC.H23"	"ME.MALME3M"	"RE.UO31"	"RE.TK10"	"LC.HOP92"	"CO.HCT116"	"LC.H322M"	"RE.ACHN"	"CO.HCT15"	"RE.CAKI1"	"CNS.SF539"	"LE.RPMI8226"	"CNS.SF295"	"LE.MOLT4"	"BR.MCF7"	"OV.OVCAR5"	"CNS.SF268"	"LC.H460"	"OV.OVCAR8"	"PR.PC3"	"CO.KM12"
"IPI00005719"	25548000	35533000	23508000	36276000	15350000	21223000	43616000	85235000	58308000	29855000	28591000	44878000	34685000	50700000	33816000	20071000	20701000	29335000	35548000	20416000	29784000	23292000	42837000	25838000	30932000	24824000	47035000	43334000	22419000	16673000	18471000	22022000	4000300	10698000	23727000	21217000	38395000	15906000	20762000	33728000	36850000	30722000	30699000	22761000	57252000	40464000	25328000	27648000	34630000	18411000	20858000	16007000	28278000	38102000	27594000	20767000	29373000	22392000	20288000
"IPI00005728"	3237000	4356900	958690	208840	445750	6021400	997730	213060	377620	1536400	1433600	3144300	1066000	993180	4945800	3689200	4318500	3141100	3983900	3318000	3012300	7283600	2871600	1384800	6734200	2548000	1779700	970150	6820900	3023700	4455200	2417600	1878500	6990900	1022300	722120	512230	540440	1661600	2987700	1434300	725050	3299200	1245800	2205600	1552800	3715300	3165600	4545500	3221100	3285700	1605300	1563700	4371700	1279200	1636000	1071300	1591700	815240
"IPI00005969"	8506900	8728700	10631000	2890100	16373000	6092700	3837200	6255100	12437000	12087000	6996600	12874000	11825000	7031900	13774000	11157000	8267200	9145300	2320900	18592000	8771600	5752100	8303900	9667800	8580800	19537000	12611000	4760400	10082000	11019000	10460000	5749900	12460000	22828000	9145200	4005500	3789600	14745000	10815000	5319400	8476300	7627200	7166300	15229000	11860000	5805200	10391000	11970000	10740000	13285000	9225900	364430	5550300	6303900	17050000	4607800	17093000	9794300	9008200
"IPI00006196"	33829000	15908000	2245300	5525400	606150	1360300	1438000	3239000	4561500	11264000	493260	1655900	539620	9157100	4184600	2825900	6512100	16553000	7102700	4181700	13105000	5608200	7357300	1816600	6965100	4174000	6296800	15187000	5820700	2815700	8276400	9079600	6170700	13276000	10368000	4738600	81603	333080	2320900	1657500	4513000	5044400	10220000	4117800	42642000	4619700	9247400	5564000	18522000	22059000	7182000	1008600	14273000	9174200	2641200	11036000	4956400	1740400	11043000
"IPI00006211"	3731300	5549400	7086600	10622000	2922200	4089500	3782400	346350	203890	4317600	2572100	5373900	2950600	5007600	3476300	6305700	9882400	10589000	7507900	9785100	2503500	5160900	5148300	7058900	17298000	5232300	8035900	9387400	6284300	5462200	7285900	13369000	8581600	1527200	7007000	6248800	3321900	1571400	6346800	6673900	4679500	4668800	8490700	3265000	13805000	3589700	4344800	4718600	8128300	1608800	5308400	3075900	9982500	11026000	2889900	3136600	4607000	7872200	6369700
"IPI00006482"	26467000	93405000	24126000	27017000	15937000	50068000	8061100	5058400	47090000	22813000	67773000	93687000	35072000	39406000	28995000	58229000	28058000	31153000	57283000	39723000	58818000	43167000	42238000	25595000	43240000	45779000	56412000	95192000	92281000	76928000	113980000	85960000	22054000	42117000	27991000	26566000	44252000	12039000	9047500	38761000	12969000	24200000	72602000	35486000	43331000	16275000	52304000	22442000	67283000	40506000	31908000	14621000	34340000	81013000	10241000	37494000	36088000	23420000	28620000
"IPI00006865"	11498000	8683200	21176000	40328000	5530400	12150000	15374000	6281600	22894000	5247200	7065300	28387000	14561000	8745200	10882000	11055000	10250000	7616600	27689000	13989000	28173000	18375000	15652000	8163700	28947000	41456000	13504000	20510000	10115000	6423100	23348000	154660000	16665000	3615700	8926400	11427000	15534000	8140800	8213800	13944000	21417000	13443000	13030000	6465700	17590000	12542000	7700000	16644000	27913000	5032700	23309000	13121000	13769000	8903500	19860000	7731300	14468000	18501000	5488800
"IPI00006932"	2141700	1730300	2139000	1840300	4328500	1697600	1250800	3242300	1601700	246860	2910900	1980600	3626100	1111100	1078000	2322100	2808900	4761200	1870700	3230300	2370500	1813000	1173300	1884500	887370	1200000	1672800	1108500	2652300	2598900	1654200	3791500	1012900	2337600	2026700	1313400	721430	3947200	2018600	1220200	1231600	1651600	2024700	522340	135310	1471900	930800	1584400	1114000	1554500	2859700	4587000	2735100	598730	983090	2477600	1943400	3049900	2547300
"IPI00006980"	3751200	3321800	4192400	3650800	1648600	1555100	6945700	8239900	6080200	5739700	3540200	6163200	4801100	5526800	5138300	3781800	5104400	3183900	3230200	4260900	4221100	2091000	3215900	4877800	4578700	2300000	3934100	2022700	7617000	4572900	2566700	2313400	3081800	2847900	2687300	4654300	2273300	3511200	2686300	2332200	2088300	2363300	4419900	2853800	3578100	3565100	5940000	3381200	4213700	3799200	3867900	12169000	4045800	4232600	6737200	3109800	3692800	5948400	2965700
"IPI00007188"	45268000	30905000	32094000	15456000	21251000	28857000	11151000	6341100	6895700	13647000	50225000	75458000	25970000	27523000	14729000	32166000	19646000	28577000	25030000	16456000	40508000	38924000	23453000	14230000	27781000	33041000	12895000	36508000	32547000	19161000	36780000	36611000	12663000	29965000	26858000	24488000	9868900	19035000	19867000	44218000	6102600	10032000	26781000	5447100	17600000	6644800	12757000	18249000	24352000	14647000	23999000	13632000	35682000	16626000	9659900	27844000	8569700	58150000	23262000
"IPI00007321"	1865800	1233000	1801000	1842700	5245700	3608800	1358500	3277800	826510	4662600	3923200	3575000	1226800	3141700	543030	1526600	3229400	4632800	476190	858090	992840	3918400	2049500	2367000	2875400	2345300	2513500	3165600	2557300	3302800	5379300	2254000	4471500	2143400	2836600	4110700	3684000	2330600	2859200	2211100	2314400	6272100	2823800	2139600	1177400	2951200	3267900	6208800	2563600	2237200	1993300	3358000	1664100	4996000	1619400	1472600	3433800	2462800	2383700
"IPI00007402"	13802000	14558000	20753000	3232200	13577000	6554600	23499000	25282000	22804000	11729000	15025000	9733000	23427000	25056000	11399000	10756000	11333000	19328000	11107000	17963000	16238000	17822000	8576100	12438000	10203000	9551400	11275000	5235700	9865500	12256000	4399500	2998500	4252800	6627200	5479400	5346800	16742000	11303000	23297000	5916100	18131000	13217000	6852200	8410900	445720	10114000	16687000	2886800	6817500	5940800	9533200	12158000	8665800	14029000	32798000	6837300	8389300	29115000	22577000
